,CTL,1.25xCO2,1.5xCO2,1.75xCO2,2xCO2,3xCO2,4xCO2,6xCO2,8xCO2
0162-01-15 00:00:00,-1.2421093,0.97611046,1.1101208,0.6765995,-0.50860405,-0.9488125,-0.98794556,-0.36301994,0.11161041
0162-02-15 00:00:00,-1.1452446,0.68629646,0.9742546,0.282156,-0.45239258,-1.0528622,-1.1159058,-0.22384834,-0.15140152
0162-03-15 00:00:00,-0.9189377,0.18697739,1.0249138,0.083992004,-0.38230705,-0.9933033,-1.0862579,0.15970993,-0.13410568
0162-04-15 00:00:00,-0.4382763,0.0026741028,1.0794468,0.31515312,-0.27056122,-0.9852638,-0.90049934,0.15678406,-0.035556793
0162-05-15 00:00:00,-0.20406532,-0.13097572,0.97581863,0.45279503,-0.46819878,-0.81798744,-0.8993263,-0.07485199,-0.035850525
0162-06-15 00:00:00,0.06593132,-0.524559,1.1209526,0.15904808,-0.79429054,-0.7618027,-0.7926712,-0.07714844,-0.23413849
0162-07-15 00:00:00,0.064172745,-0.6089039,1.3748283,-0.12843323,-1.0875683,-0.81684875,-0.58220863,0.026622772,-0.3338127
0162-08-15 00:00:00,-0.07300758,-0.42942047,1.5736065,-0.40696907,-1.1583786,-1.1324863,-0.5809746,-0.28868484,-0.7769222
0162-09-15 00:00:00,-0.25821877,-0.32910538,1.6514416,-0.1536274,-1.3333969,-1.0776787,-0.62377167,-0.4605484,-1.3082047
0162-10-15 00:00:00,-0.30207443,-0.5158024,1.3408699,-0.005941391,-1.1475315,-1.1927395,-0.7508526,-0.3169651,-1.6281967
0162-11-15 00:00:00,-0.287632,-0.8664379,1.2358475,0.2091732,-1.3085976,-1.2544689,-0.74640465,-0.275877,-1.8010044
0162-12-15 00:00:00,-0.29745483,-1.1198349,1.1492386,0.21399117,-1.5150967,-1.1342678,-0.6857128,-0.2952919,-1.7125702
0163-01-15 00:00:00,-0.24112892,-1.3076344,0.9592724,0.1335125,-1.3642693,-0.9640808,-0.5035629,-0.20145035,-1.6726341
0163-02-15 00:00:00,0.10886383,-1.3300018,0.60816574,0.19165802,-0.9862442,-0.85121727,-0.5315037,-0.22641373,-1.5491409
0163-03-15 00:00:00,0.2764454,-0.91052246,0.023433685,0.21356583,-0.76420975,-0.71553993,-0.56951904,0.0067424774,-1.2908039
0163-04-15 00:00:00,0.2606411,-0.5870285,-0.3060894,0.1554985,-0.43766785,-0.5704193,-0.6437874,0.20636368,-1.0702267
0163-05-15 00:00:00,0.29513168,-0.12516975,-0.38289833,0.0057868958,-0.30287933,-0.46509552,-0.55623245,0.2620697,-1.0598831
0163-06-15 00:00:00,0.3635769,0.1542778,-0.90733147,-0.11120987,-0.22823334,-0.37021637,-0.37931824,0.18801498,-0.92227936
0163-07-15 00:00:00,0.09474945,0.20212364,-1.1037235,-0.4883995,-0.35430717,-0.26086044,-0.34241295,0.33389282,-0.6800308
0163-08-15 00:00:00,-0.34016228,0.25426483,-1.0330448,-0.5485058,-0.6470623,-0.6746712,-0.075437546,0.6403084,-0.61572266
0163-09-15 00:00:00,-0.56931305,0.3461647,-0.87147903,-0.7440376,-0.76366234,-0.87700653,0.030809402,0.5880127,-0.5958328
0163-10-15 00:00:00,-0.35264206,0.6823807,-0.6843891,-0.7894459,-0.78277016,-0.7880497,0.34492302,0.36156082,-0.52311325
0163-11-15 00:00:00,-0.3190136,0.7910843,-0.714304,-0.81788826,-0.70630646,-0.8581104,0.4885273,0.0019378662,-0.59272766
0163-12-15 00:00:00,-0.48260307,0.76296806,-0.6823616,-0.9653034,-0.69324684,-0.7028599,0.50680923,-0.18995667,-0.5126114
0164-01-15 00:00:00,-0.4693699,0.37656212,-0.6938362,-0.9247627,-0.42358208,-0.4223385,0.6706886,-0.25919724,-0.31777954
0164-02-15 00:00:00,-0.26685905,0.04011917,-0.7989178,-1.1168671,-0.14107895,-0.23405457,0.99466515,0.3138256,-0.04580307
0164-03-15 00:00:00,-0.10912514,-0.13134003,-0.4982624,-1.0014305,-0.10138893,-0.12926674,1.0071602,0.56409454,0.25540924
0164-04-15 00:00:00,0.11708069,-0.09428024,-0.29224014,-0.84947777,0.11105919,0.016960144,1.017067,0.18744278,0.61675644
0164-05-15 00:00:00,0.29372215,-0.108810425,-0.15208054,-0.8833504,0.28782082,0.007211685,0.8616333,-0.069496155,0.59254074
0164-06-15 00:00:00,0.5096569,-0.30832672,0.11579895,-0.9085789,0.3309765,0.20274353,1.0676231,0.0058174133,0.3168373
0164-07-15 00:00:00,0.64966774,-0.5295906,0.22700691,-0.833168,0.4585743,0.7399273,1.3822079,-0.3015499,0.27607727
0164-08-15 00:00:00,0.5960369,-0.75546265,-0.006248474,-0.78967667,0.24446869,1.1145535,1.8146915,-0.73223877,0.4251442
0164-09-15 00:00:00,0.60616684,-0.9014168,0.23642159,-0.9740238,0.32722664,1.1920204,1.9063377,-0.58600235,0.49297714
0164-10-15 00:00:00,0.8579216,-1.0475197,0.46814728,-1.0366783,0.068573,1.1846409,1.828865,-0.4582615,0.20579529
0164-11-15 00:00:00,0.86177254,-1.2625465,0.58872986,-1.059372,-0.13291168,1.2111397,1.6873932,-0.50582314,0.17811203
0164-12-15 00:00:00,1.0458832,-1.3641148,0.6342354,-1.0944042,-0.16710663,1.2775116,1.6228008,-0.6002598,0.10309219
0165-01-15 00:00:00,0.9701252,-1.5211658,0.57683754,-0.86351204,-0.17363739,1.0824223,1.1844425,-0.989542,0.3289299
0165-02-15 00:00:00,0.63254166,-1.5614948,0.7424946,-0.3188839,-0.15880394,1.0416698,0.7912712,-0.87052155,0.41367722
0165-03-15 00:00:00,0.27952003,-1.0080204,0.85035324,0.27060127,-0.22807884,0.6567955,0.25279427,-0.4536438,0.686821
0165-04-15 00:00:00,-0.065164566,-0.5800648,1.0425587,0.4629116,-0.4334221,0.13743591,0.52205086,-0.2320633,0.92710495
0165-05-15 00:00:00,-0.09362793,-0.3736477,1.0131283,0.46372986,-0.61234474,0.28849602,0.56739616,-0.27424622,0.7984123
0165-06-15 00:00:00,-0.120529175,-0.21641922,1.1047535,0.46146393,-0.9682865,0.06583595,0.36759377,-0.03643799,0.51330566
0165-07-15 00:00:00,-0.4200344,-0.069581985,0.9682255,0.7587261,-1.2369003,-0.12631416,-0.086078644,0.40438843,0.56044006
0165-08-15 00:00:00,-0.38658524,-0.094429016,0.71697426,1.2083282,-1.5153236,-0.0691452,-0.15976524,0.5591774,0.59752274
0165-09-15 00:00:00,-0.29854012,-0.3765812,0.38643265,1.6054077,-1.7015514,-0.08708763,0.07845688,0.5009289,0.6546364
0165-10-15 00:00:00,-0.2719841,-0.4757843,0.31012535,1.7891235,-1.5634384,0.034898758,-0.07122612,0.49024963,0.8895378
0165-11-15 00:00:00,-0.4740219,-0.67930794,0.0914135,1.8321075,-1.8216515,0.098379135,-0.2295227,0.2992859,0.8613281
0165-12-15 00:00:00,-0.40400124,-0.7976074,0.041362762,1.9551258,-1.6332588,0.34589958,-0.15916443,0.20180893,0.6557236
0166-01-15 00:00:00,-0.3209858,-0.7453556,-0.073308945,2.0775223,-1.2730045,0.1821804,-0.057779312,0.17134094,0.7233429
0166-02-15 00:00:00,-0.32440567,-0.5841007,-0.25325394,1.6964493,-0.86489296,0.15544891,-0.35442734,0.28603172,0.589653
0166-03-15 00:00:00,-0.4435234,-0.37421036,-0.43813515,1.242588,-0.5185833,0.09237099,-0.35957718,0.41867447,0.26647568
0166-04-15 00:00:00,-0.55075455,0.02082634,-0.32793236,1.0592384,-0.028556824,0.069067,-0.28372383,0.41404343,0.086891174
0166-05-15 00:00:00,-0.55281067,0.40476418,-0.3540821,0.90374947,0.04899025,0.051540375,-0.48596573,0.22573471,0.06611633
0166-06-15 00:00:00,-0.7661953,0.5439491,-0.44368935,0.53967667,0.15923691,-0.097486496,-0.3653164,0.2836151,0.095775604
0166-07-15 00:00:00,-0.6654339,0.6979351,-0.46355247,0.45097733,0.52389145,-0.42230034,-0.68004036,0.62529373,0.12770462
0166-08-15 00:00:00,-0.5983753,1.0067005,-0.4403324,0.13004494,0.638258,-0.71871376,-1.070015,1.0499878,0.15531921
0166-09-15 00:00:00,-0.6517868,1.1305103,-0.67609406,-0.2132492,0.80070686,-0.73870087,-0.79615784,1.2318363,0.2789917
0166-10-15 00:00:00,-0.7884712,1.3525906,-0.7764797,-0.4916706,0.9180069,-0.7245865,-0.7321892,1.3111725,0.092300415
0166-11-15 00:00:00,-1.0529575,1.4096127,-0.7765579,-0.4578724,0.8238182,-0.7981262,-0.7113342,1.2785225,-0.24494934
