,ERSSTv5
1913-10-31,-0.4142384
1913-11-30,0.21273968
1913-12-31,0.79681987
1914-01-31,0.9179147
1914-02-28,0.4445692
1914-03-31,0.33957705
1914-04-30,0.05303641
1914-05-31,0.42324582
1914-06-30,0.06714633
1914-07-31,0.46689773
1914-08-31,0.5556984
1914-09-30,0.92704535
1914-10-31,1.1515034
1914-11-30,0.85256004
1914-12-31,1.1453422
1915-01-31,1.0985019
1915-02-28,0.86253345
1915-03-31,0.22659186
1915-04-30,0.6767929
1915-05-31,0.751112
1915-06-30,0.34936577
1915-07-31,-0.23533869
1915-08-31,-0.7381446
1915-09-30,-0.97667885
1915-10-31,-1.3484008
1915-11-30,-1.5986598
1915-12-31,-1.5095669
1916-01-31,-0.8163722
1916-02-29,-1.0514492
1916-03-31,-0.6313115
1916-04-30,-1.4961016
1916-05-31,-0.80511796
1916-06-30,-1.319479
1916-07-31,-0.9095005
1916-08-31,-1.2525381
1916-09-30,-1.6225407
1916-10-31,-2.3361418
1916-11-30,-2.726096
1916-12-31,-2.5574555
1917-01-31,-2.7659297
1917-02-28,-2.167767
1917-03-31,-1.8277458
1917-04-30,-1.1478078
1917-05-31,-1.1053568
1917-06-30,-1.3141264
1917-07-31,-1.4656098
1917-08-31,-1.8838167
1917-09-30,-1.6520771
1917-10-31,-2.334524
1917-11-30,-2.1510727
1917-12-31,-1.4968865
1918-01-31,-1.1087816
1918-02-28,-0.8325654
1918-03-31,-1.1959716
1918-04-30,-0.9401952
1918-05-31,-0.16698873
1918-06-30,0.13868558
1918-07-31,-0.17568654
1918-08-31,0.002371198
1918-09-30,0.10367308
1918-10-31,0.99472487
1918-11-30,1.7152306
1918-12-31,1.5744201
1919-01-31,1.2329004
1919-02-28,0.7013874
1919-03-31,0.7376497
1919-04-30,-0.9510398
1919-05-31,-0.59511226
1919-06-30,-0.8208393
1919-07-31,-0.7391464
1919-08-31,-1.3556231
1919-09-30,-0.43701762
1919-10-31,0.15662274
1919-11-30,-0.11414492
1919-12-31,0.63683665
1920-01-31,0.37370294
1920-02-29,0.49689284
1920-03-31,0.1589872
1920-04-30,-0.22587498
1920-05-31,-0.4844416
1920-06-30,-0.060386192
1920-07-31,0.11653034
1920-08-31,-0.057543743
1920-09-30,-0.56123394
1920-10-31,-0.8066365
1920-11-30,-0.50584763
1920-12-31,-0.7626058
1921-01-31,-0.77464294
1921-02-28,-1.737463
1921-03-31,-2.5001607
1921-04-30,-1.9695828
1921-05-31,-0.9256954
1921-06-30,-1.0450824
1921-07-31,-0.4841118
1921-08-31,-0.097671375
1921-09-30,-0.164375
1921-10-31,0.5276431
1921-11-30,0.7567867
1921-12-31,0.2925479
1922-01-31,0.066122316
1922-02-28,-1.0168635
1922-03-31,-0.45645818
1922-04-30,-1.0757515
1922-05-31,-0.5961483
1922-06-30,-0.9532016
1922-07-31,-1.3655183
1922-08-31,-1.6640968
1922-09-30,-1.7868116
1922-10-31,-1.6276474
1922-11-30,-1.0079372
1922-12-31,-1.143811
1923-01-31,-1.2541806
1923-02-28,-1.3795867
1923-03-31,-0.46875072
1923-04-30,-0.48093587
1923-05-31,-0.24227722
1923-06-30,-0.13388856
1923-07-31,-0.25025812
1923-08-31,-0.09195896
1923-09-30,0.03649751
